user_id,action
540075595,/start
540075595,/menu
540075595,aksdjasld
540075595,/start
540075595,/menu
540075595,/start
540075595,/menu
540075595,/start
540075595,леонид
540075595,"футбол, жареное мясо"
540075595,/menu
540075595,спасибл
540075595,/menu
540075595,/brainstorm
540075595,кино
540075595,/start
540075595,/menu
540075595,/brainstorm
540075595,картина
540075595,ыдлао
540075595,/ьутг
540075595,/menu
540075595,/menu
540075595,/brainstorm
540075595,asdj
540075595,sdf
540075595,sdfsdf
540075595,/start
540075595,/menu
540075595,/brainstorm
540075595,картина
540075595,ыдлвоаыва
540075595,/menu
540075595,/start
540075595,/brainstorm
540075595,sdlkfj
540075595,skdjf
540075595,/creative_prompt
540075595,/word_association
540075595,рука
540075595,/menu
540075595,/brainstorm
540075595,пас в футболе
540075595,/quote_of_the_day
540075595,/challenge
540075595,/feedback
540075595,дывлоавы
540075595,/menu
540075595,/word_association
540075595,самолет
540075595,/start
540075595,Леонид
540075595,я люблю рисовать и наслаждаться природой
540075595,/menu
540075595,/brainstorm
540075595,не могу найти вдохновение для написания картины
540075595,/option2
540075595,/start
540075595,/menu
540075595,/brainstorm
540075595,slkfjsdf
540075595,/creative_prompt
540075595,/word_association
540075595,лыжи
540075595,/quote_of_the_day
540075595,/challenge
540075595,/feedback
540075595,нарисовал афтопортрет черно белыми красками типо грустный
540075595,/menu
540075595,/start
540075595,/quote_of_the_day
540075595,/brainstorm
540075595,не могу найти вдохновение
540075595,/feedback
540075595,/menu
540075595,/word_association
540075595,стройка
540075595,/word_association
540075595,flag
540075595,/start
540075595,/menu
540075595,/challenge
540075595,/quote_of_the_day
540075595,/feedback
540075595,креативная идея: разрисовать обои фломастерами
540075595,/word_association
540075595,фикус
540075595,/brainstorm
540075595,не могу сесть за работу у меня боязнь белого листа
540075595,/start
540075595,/menu
540075595,/brainstorm
540075595,asdasd
540075595,/quote_of_the_day
540075595,/quote_of_the_day
540075595,/brainstorm
540075595,/brainstorm
540075595,/brainstorm
540075595,/brainstorm
540075595,ыфвыв
540075595,выв
540075595,/menu
540075595,/menu
540075595,/menu
540075595,/menu
540075595,🧠 Brainstorm
540075595,/menu
540075595,🧠 Brainstorm
540075595,🔗 Word Association
540075595,/start
540075595,/start
540075595,леониж
540075595,музыка р
540075595,/menu
540075595,/menu
540075595,/word_association
540075595,/start
540075595,ваыва
540075595,/start
540075595,/menu
540075595,/brainstorm
540075595,/start
540075595,/brainstorm
540075595,выавыа
540075595,/start
540075595,/start
540075595,/brainstorm
540075595,/start
540075595,выаыва
540075595,выа
540075595,/start
540075595,леонид
540075595,музыка
540075595,/menu
540075595,/brainstorm
540075595,/start
540075595,леонид
540075595,спорт
540075595,/menu
540075595,/brainstorm
540075595,/brainstorm
540075595,/quote_of_the_day
540075595,/brainstorm
540075595,/start
540075595,ыфво
540075595,/start
540075595,леонид
540075595,/start
540075595,леонид
540075595,музыка
540075595,/menu
540075595,/brainstorm
540075595,не могу найти вдохновление
540075595,/start
540075595,/brainstorm
540075595,я не могу найти вдохновение
540075595,/start
540075595,леонид
540075595,музыка
540075595,/creative_prompt
540075595,/challenge
540075595,/creative_prompt
540075595,король и шут палач
540075595,/feedback
540075595,я люблю слушать король и шут
540075595,/menu
540075595,/creative_prompt
540075595,/challenge
540075595,/feedback
